"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","214","9","5","24","103","7","2","4","6","0","0","1","0","0","0","2","0","0","1","0","0","2","","","","","",""
"区南部","302","13","6","27","185","15","4","9","6","1","2","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","351","13","4","19","153","5","7","1","6","0","4","2","2","1","0","1","1","0","1","0","1","4","","","","","",""
"区西部","305","17","7","15","143","9","7","5","5","0","1","2","0","0","0","1","0","0","0","0","0","4","","","","","",""
"区西北部","608","12","5","30","182","11","4","19","9","0","0","2","2","0","0","1","0","0","0","0","0","4","","","","","",""
"区東北部","404","19","2","22","217","13","12","10","5","1","1","4","1","0","0","5","0","0","0","0","0","2","","","","","",""
"区東部","418","13","13","53","223","16","3","11","5","0","1","6","1","2","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","151","10","2","6","22","5","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","1","","","","","",""
"南多摩","576","37","5","75","216","13","1","23","9","1","0","3","1","0","0","1","0","0","1","0","0","0","","","","","",""
"北多摩西部","285","9","4","18","77","9","0","7","5","0","0","5","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","333","15","4","35","115","16","8","3","7","0","0","2","0","1","0","0","0","1","0","0","0","6","","","","","",""
"北多摩北部","271","33","7","35","88","9","0","13","6","0","1","2","1","0","0","0","0","0","1","0","0","1","","","","","",""
"島しょ","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"合計","4221","200","64","359","1724","129","48","105","70","3","10","32","11","4","0","12","1","1","4","0","1","25","","","","","",""
