"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","30","15","1","1","15","41","3","33","12","2","1","1","0","0","0","1","0","1","4","0","0","1","1","","","","","",""
"区南部","24","17","3","5","8","46","1","25","9","4","1","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"区西南部","52","19","2","2","15","29","4","21","12","2","0","0","1","0","0","0","0","0","2","0","0","1","6","","","","","",""
"区西部","35","24","1","2","23","30","1","22","32","1","0","0","1","1","0","1","0","0","17","0","0","2","7","","","","","",""
"区西北部","76","33","4","2","32","50","8","45","36","4","2","0","2","0","0","2","0","0","8","0","0","0","1","","","","","",""
"区東北部","42","22","8","1","13","40","2","31","9","6","1","0","2","1","0","1","0","0","4","0","0","1","2","","","","","",""
"区東部","60","17","1","3","29","44","2","35","25","3","4","1","1","0","0","2","0","0","6","0","0","0","0","","","","","",""
"西多摩","17","15","1","0","3","4","1","3","6","1","0","0","1","0","0","0","0","0","4","0","0","1","0","","","","","",""
"南多摩","52","27","6","0","34","67","2","79","26","6","1","0","1","0","0","0","0","0","0","0","0","1","1","","","","","",""
"北多摩西部","20","10","1","0","9","14","2","13","15","2","0","1","1","1","0","0","0","0","0","0","0","0","1","","","","","",""
"北多摩南部","32","13","2","2","20","36","1","40","11","1","1","1","1","0","0","1","0","0","2","0","0","3","4","","","","","",""
"北多摩北部","33","15","1","2","40","22","2","34","22","2","0","1","1","0","0","0","0","1","4","0","0","0","3","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","473","227","31","20","241","423","29","381","215","34","11","5","12","3","0","8","0","2","52","0","0","10","26","","","","","",""
