"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","3","8","5","13","99","9","3","2","7","3","0","2","0","1","0","1","0","0","0","0","0","","","","","",""
"区南部","0","5","4","14","146","5","1","1","12","1","3","2","1","1","0","0","0","0","0","0","0","","","","","",""
"区西南部","1","3","2","26","169","5","3","2","12","0","2","1","2","0","0","2","0","0","3","0","0","","","","","",""
"区西部","2","7","2","18","72","1","3","0","5","0","0","4","0","0","0","0","0","0","4","0","0","","","","","",""
"区西北部","2","3","3","11","96","17","11","1","9","0","0","5","3","0","0","2","0","0","1","0","0","","","","","",""
"区東北部","2","7","14","21","82","7","10","4","13","0","1","1","2","0","0","0","0","0","6","0","0","","","","","",""
"区東部","6","12","8","46","129","8","8","0","9","0","7","5","2","0","0","0","0","0","1","0","0","","","","","",""
"西多摩","0","1","2","1","29","3","1","0","4","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1","12","3","37","215","26","10","2","14","1","2","7","5","0","0","1","0","0","0","0","0","","","","","",""
"北多摩西部","1","13","1","16","40","4","4","1","4","0","0","1","0","0","0","0","0","0","1","0","0","","","","","",""
"北多摩南部","2","6","2","11","86","9","3","0","11","1","2","3","1","1","0","2","1","1","4","0","0","","","","","",""
"北多摩北部","2","1","2","24","52","16","1","0","4","2","1","0","0","0","0","2","2","0","5","0","0","","","","","",""
"島しょ","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","22","78","48","240","1215","110","58","13","104","8","19","32","17","3","0","10","3","1","25","0","0","","","","","",""
