"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","23","6","1","17","0","2","8","2","0","",""
"区南部","2","3","0","2","0","0","4","0","0","",""
"区西南部","6","0","0","1","0","0","3","1","0","",""
"区西部","32","14","20","25","0","1","33","5","0","",""
"区西北部","15","4","8","9","0","0","2","2","0","",""
"区東北部","6","1","2","4","1","0","4","3","0","",""
"区東部","16","2","5","13","0","2","0","6","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","1","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","1","0","0","0","0","0","15","0","1","",""
"北多摩北部","0","0","0","0","0","0","6","4","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","101","30","36","71","1","5","76","23","1","",""
