"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","2","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","2","0","0","1","22","0","1","1","3","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","5","2","1","5","20","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","5","4","0","8","18","1","0","5","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","0","0","0","5","21","2","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","2","1","3","11","28","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","5","3","0","7","19","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","4","3","1","15","51","2","0","2","2","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","1","0","1","6","17","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","7","1","0","7","21","4","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","9","4","1","23","62","7","0","8","1","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","17","6","4","30","46","3","0","6","3","0","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"渋谷区","1","0","0","2","18","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","","","","","",""
"中野区","8","2","2","15","15","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","8","0","1","4","21","4","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","","","","","",""
"池袋","1","1","0","1","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","9","1","0","6","11","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","5","4","0","8","24","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","3","1","0","4","29","4","0","4","0","0","0","1","0","0","0","0","0","0","0","1","0","","","","","",""
"練馬区","8","0","0","17","38","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","11","1","1","12","27","7","0","1","4","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","2","0","0","6","40","0","5","3","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江戸川","2","1","1","14","32","6","1","3","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","3","3","1","14","61","2","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","6","1","1","12","31","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","3","2","0","4","10","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","15","1","0","7","22","0","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","12","1","0","14","35","2","0","6","4","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","14","5","6","23","55","2","0","7","4","0","2","2","0","0","0","1","0","0","0","0","1","","","","","",""
"多摩小平","15","4","6","23","36","1","0","7","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","203","54","30","305","838","60","11","72","53","0","13","6","0","0","4","1","0","0","0","2","4","","","","","",""
