"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","6","0","0","11","2","6","0","2","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","7","0","0","35","5","57","2","30","0","28","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","14","3","0","40","7","153","3","39","0","73","1","6","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","0","7","5","31","7","89","1","11","1","50","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","1","4","9","17","10","53","3","2","0","36","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","2","7","16","1","43","6","1","1","28","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"5歳","0","0","3","13","18","6","33","8","1","0","16","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","0","0","3","7","12","2","14","5","0","0","10","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","5","11","2","9","3","0","0","9","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","7","14","3","7","2","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","6","9","1","5","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","4","24","1","3","2","0","1","5","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","1","9","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","2","7","53","0","15","0","0","2","4","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1","28","24","71","300","47","488","35","86","5","280","33","9","2","0","7","0","1","10","0","0","0","0","0","0","0","0","0"
