"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","30","2","0","0","6","0","2","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","39","12","4","1","43","0","6","0","6","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","13","89","15","28","3","67","1","30","1","11","18","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","8","53","9","20","7","60","0","26","1","5","17","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","10","44","4","25","11","58","0","22","1","0","18","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"4歳","9","41","2","19","22","39","2","10","0","0","12","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","10","46","0","12","29","44","1","10","1","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","17","50","0","10","23","28","3","3","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","16","46","0","4","12","21","1","2","1","0","4","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"8歳","21","61","0","5","7","15","1","2","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","14","52","0","2","9","14","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"10〜14歳","53","258","0","3","16","48","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"15〜19歳","37","180","1","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","43","321","0","2","3","22","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"30〜39歳","14","329","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"40〜49歳","20","384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","11","378","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","4","221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","306","2844","45","134","145","472","12","114","5","24","95","2","6","1","0","7","0","0","1","0","0","8","0","0","1","0","0","7","1"
