"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","19","148","20","7","6","35","0","9","0","5","35","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","48","141","20","3","25","64","0","14","0","0","45","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","38","215","20","11","19","28","1","6","0","2","39","2","2","0","0","3","0","0","0","0","0","1","","","","","",""
"区西部","14","150","10","2","17","53","0","2","0","4","28","0","1","1","0","3","0","0","0","0","0","1","","","","","",""
"区西北部","26","321","19","6","19","48","0","16","0","3","46","0","2","2","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","21","181","16","7","11","71","1","10","0","4","50","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","13","265","6","11","16","58","0","9","0","4","37","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","1","45","0","0","4","12","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","26","201","18","2","21","67","1","12","0","0","54","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","4","95","18","1","13","20","1","4","0","1","32","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","25","193","10","6","13","46","0","8","0","3","35","0","5","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩北部","28","127","14","5","30","38","3","2","0","3","22","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","39","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","263","2121","171","61","194","540","7","92","0","29","436","8","11","3","0","7","0","0","0","0","0","2","","","","","",""
