"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","28","0","0","1","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"中央区","91","0","1","5","19","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","83","0","2","13","20","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"新宿区","108","4","0","5","28","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","7","","","","","",""
"文京","63","0","0","7","22","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"台東","41","0","0","8","16","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","65","0","0","2","8","0","0","0","2","0","0","0","0","0","1","0","0","0","0","1","6","","","","","",""
"江東区","157","2","0","10","46","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","76","2","2","9","37","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","56","0","0","6","19","0","2","5","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","186","2","4","21","75","1","1","5","5","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","326","0","5","13","52","5","0","6","4","0","1","3","0","0","0","0","0","0","0","1","13","","","","","",""
"渋谷区","58","0","0","1","18","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","2","","","","","",""
"中野区","137","0","0","14","21","1","0","6","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","150","1","1","6","38","4","0","0","2","0","0","0","0","0","0","0","0","0","0","1","4","","","","","",""
"池袋","61","2","1","4","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北区","133","0","1","10","19","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","88","2","0","6","14","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","153","0","0","4","30","3","2","8","0","0","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"練馬区","246","1","1","30","60","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","243","2","3","12","36","6","0","4","2","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","168","1","0","6","19","2","7","8","3","1","1","0","0","0","0","0","0","0","0","0","6","","","","","",""
"江戸川","237","0","0","20","41","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","345","1","0","11","50","2","0","7","0","0","0","2","0","0","1","0","0","0","0","0","2","","","","","",""
"町田市","256","1","1","10","36","7","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","157","0","1","6","9","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","175","0","0","7","21","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","327","0","1","11","46","1","2","7","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"多摩府中","453","1","2","26","65","0","5","16","1","0","2","0","0","0","0","1","0","1","2","1","11","","","","","",""
"多摩小平","363","1","2","17","39","4","0","5","3","0","2","1","0","0","0","0","0","0","0","0","9","","","","","",""
"島しょ","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","5048","23","28","301","915","49","23","118","40","1","8","6","1","0","5","1","0","1","2","4","70","","","","","",""
