"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","6","0","3","27","38","12","3","3","4","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"区南部","1","5","8","33","92","19","9","6","3","0","1","2","2","0","0","1","0","0","0","0","0","","","","","",""
"区西南部","7","1","2","29","86","14","0","3","4","0","1","2","3","0","0","2","0","0","0","0","0","","","","","",""
"区西部","4","1","0","37","53","13","2","4","6","0","4","2","0","0","0","1","1","0","1","0","0","","","","","",""
"区西北部","10","1","3","43","91","15","0","9","8","0","0","5","1","1","0","0","0","0","0","0","0","","","","","",""
"区東北部","7","0","8","40","107","12","4","3","10","0","1","5","0","0","0","1","0","0","2","0","0","","","","","",""
"区東部","0","0","10","60","109","28","4","5","9","2","4","2","1","1","0","3","0","0","0","0","0","","","","","",""
"西多摩","2","0","3","7","21","9","0","2","3","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"南多摩","15","0","9","97","159","58","1","17","17","1","3","13","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","4","3","4","19","40","10","0","3","3","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","1","41","81","27","0","11","15","0","0","2","0","1","0","1","0","0","0","0","0","","","","","",""
"北多摩北部","1","0","11","55","60","18","0","4","7","0","1","4","4","0","0","0","0","0","2","0","0","","","","","",""
"島しょ","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","57","11","63","488","937","235","23","70","89","3","15","41","12","3","0","11","1","0","5","0","0","","","","","",""
