"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","5","1","0","0"
"1〜4歳","0","0","0","0","0","0","8","15","0","0"
"5〜9歳","0","0","0","0","0","0","3","2","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","8","2","1","1","2","0","2","0","0","0"
"20〜24歳","22","7","18","17","2","2","0","0","0","0"
"25〜29歳","41","9","16","16","2","1","0","0","0","0"
"30〜34歳","38","15","9","18","0","4","0","0","0","0"
"35〜39歳","20","18","13","9","1","1","0","1","0","0"
"40〜44歳","14","16","7","10","0","1","0","1","0","0"
"45〜49歳","12","10","5","9","0","2","3","0","0","0"
"50〜54歳","3","9","3","3","0","1","3","0","0","0"
"55〜59歳","6","6","4","0","0","1","2","0","0","0"
"60〜64歳","3","4","1","0","1","1","2","2","0","0"
"65〜69歳","0","2","2","1","0","0","5","2","0","0"
"70歳以上","1","3","0","0","0","0","37","11","2","0"
"合計","168","101","79","84","8","14","71","35","2","0"
