"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","7","6","0","0"
"1〜4歳","0","0","0","0","0","0","13","19","0","0"
"5〜9歳","0","0","0","0","0","0","7","3","1","0"
"10〜14歳","0","0","0","0","0","0","5","1","0","0"
"15〜19歳","13","4","6","7","1","0","0","0","0","0"
"20〜24歳","31","8","12","14","8","0","0","0","0","0"
"25〜29歳","43","12","11","27","3","1","0","0","0","0"
"30〜34歳","28","17","11","22","2","6","2","1","0","0"
"35〜39歳","21","14","19","13","2","4","2","1","0","0"
"40〜44歳","16","10","5","6","2","2","3","1","0","0"
"45〜49歳","12","14","7","14","2","1","3","0","0","0"
"50〜54歳","7","9","5","3","2","0","2","1","0","0"
"55〜59歳","4","3","1","2","1","0","5","1","0","0"
"60〜64歳","2","0","0","1","0","0","7","3","0","0"
"65〜69歳","0","2","1","0","0","1","8","4","0","0"
"70歳以上","1","2","0","1","1","0","30","14","2","0"
"合計","178","95","78","110","24","15","94","55","3","0"
