"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0","0"
"1〜4歳","0","0","0","0","0","0","0","0","0"
"5〜9歳","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","1","0","0","0","1","0"
"15〜19歳","11","1","8","3","0","0","0","0","0"
"20〜24歳","36","7","16","12","2","0","1","0","0"
"25〜29歳","27","5","7","8","2","0","0","0","0"
"30〜34歳","13","4","6","4","1","0","1","0","0"
"35〜39歳","6","3","1","3","1","0","0","0","0"
"40〜44歳","6","8","4","3","0","0","0","0","0"
"45〜49歳","0","2","0","7","0","0","0","0","0"
"50〜54歳","1","2","0","2","0","0","1","0","0"
"55〜59歳","1","0","0","3","0","0","0","0","0"
"60〜64歳","0","0","0","3","0","0","0","0","0"
"65〜69歳","0","0","0","1","0","0","0","0","0"
"70歳以上","0","0","0","0","0","0","10","0","0"
"合計","101","32","42","50","6","0","14","1","0"
