"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","14","2","3","12","0","0","2","2","0","0","2","2"
"中央区","10","5","1","1","1","0","0","0","0","0","3","0"
"みなと","15","39","12","5","1","0","5","0","0","0","2","1"
"新宿区","36","17","27","39","1","6","11","7","0","0","7","2"
"文京","0","2","0","4","0","0","4","2","0","0","1","1"
"台東","2","0","0","0","2","0","0","0","0","0","2","0"
"墨田区","2","2","1","0","0","1","8","0","0","0","2","1"
"江東区","6","5","1","4","0","1","0","0","0","0","2","0"
"品川区","11","4","3","0","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0","0"
"大田区","6","0","0","0","0","0","3","1","1","0","2","1"
"世田谷","0","0","0","0","0","0","5","0","0","0","0","2"
"渋谷区","11","8","4","3","0","0","3","0","0","0","5","1"
"中野区","4","0","1","4","1","0","0","0","0","0","2","1"
"杉並","3","0","0","1","0","1","0","1","0","0","2","1"
"池袋","18","13","7","6","0","0","4","1","0","0","3","1"
"北区","1","0","3","0","0","0","0","0","0","0","1","0"
"荒川区","0","1","0","0","0","0","0","0","0","0","1","0"
"板橋区","5","4","1","1","1","0","3","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0","0"
"足立","1","4","0","2","0","1","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","10","4","3","0","0","1"
"江戸川","11","1","2","1","2","0","0","0","0","0","2","0"
"八王子市","5","2","1","1","2","0","2","0","0","0","4","1"
"町田市","2","3","0","0","1","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","19","2","2","3","0","0","0","0","0","0","2","1"
"多摩府中","1","0","1","0","0","0","41","12","0","0","3","3"
"多摩小平","0","0","0","0","0","0","1","8","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","0","1"
"合計","183","114","70","87","12","10","102","38","4","0","55","25"
