"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","11","2","0"
"1〜4歳","0","0","0","0","0","0","2","4","0"
"5〜9歳","0","0","0","0","0","0","3","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","11","0","6","4","5","0","0","0","0"
"20〜24歳","34","15","13","9","3","0","1","0","0"
"25〜29歳","27","11","5","4","5","0","2","0","0"
"30〜34歳","22","9","6","4","4","0","0","0","0"
"35〜39歳","11","8","2","3","2","0","1","0","0"
"40〜44歳","3","3","0","0","3","0","0","0","1"
"45〜49歳","1","1","0","0","1","0","0","0","0"
"50〜54歳","0","4","0","0","0","0","1","0","0"
"55〜59歳","1","1","0","0","2","0","1","0","0"
"60〜64歳","0","1","1","0","1","0","1","0","0"
"65〜69歳","0","0","0","0","0","0","3","0","0"
"70歳以上","0","0","0","0","1","0","15","1","0"
"合計","110","53","33","24","27","0","42","7","1"
