"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","6","8","0"
"1〜4歳","0","0","0","0","0","0","6","25","0"
"5〜9歳","0","0","0","0","0","0","3","4","0"
"10〜14歳","0","0","0","0","0","0","1","3","0"
"15〜19歳","6","0","0","3","0","0","0","0","0"
"20〜24歳","13","5","5","8","1","0","0","0","0"
"25〜29歳","21","10","9","18","0","1","0","1","0"
"30〜34歳","22","12","8","15","0","3","2","0","0"
"35〜39歳","12","4","10","18","2","1","1","1","0"
"40〜44歳","12","6","5","9","0","3","1","0","0"
"45〜49歳","5","4","2","2","0","1","4","0","0"
"50〜54歳","1","3","1","2","0","0","1","0","0"
"55〜59歳","1","2","1","1","0","0","4","0","1"
"60〜64歳","1","1","1","0","0","0","7","1","0"
"65〜69歳","0","2","0","1","0","0","7","1","0"
"70歳以上","0","1","1","0","0","0","45","5","2"
"合計","94","50","43","77","3","9","88","49","3"
