"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","12","0","0"
"1〜4歳","0","0","0","0","0","0","9","0","0"
"5〜9歳","0","0","0","0","0","0","3","1","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","1","0","0","0","0","0","0","1","0"
"20〜24歳","17","4","5","10","0","0","1","0","0"
"25〜29歳","25","3","16","17","0","0","1","0","0"
"30〜34歳","25","13","17","19","0","0","0","0","0"
"35〜39歳","28","14","14","13","0","0","1","0","0"
"40〜44歳","15","13","13","14","0","0","1","0","0"
"45〜49歳","9","12","14","7","0","0","0","0","1"
"50〜54歳","2","8","5","3","0","0","1","0","0"
"55〜59歳","4","6","3","2","0","0","2","0","0"
"60〜64歳","1","3","3","2","0","0","2","0","1"
"65〜69歳","0","2","0","0","0","0","0","1","0"
"70歳以上","0","2","0","0","0","0","15","1","0"
"合計","127","80","90","87","0","0","49","4","2"
