"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","17","1","0"
"1〜4歳","0","1","0","0","0","0","7","1","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","2","0","0","0","0","0","3","1","0"
"15〜19歳","11","2","0","1","0","0","3","1","0"
"20〜24歳","33","14","17","22","1","0","0","0","1"
"25〜29歳","48","18","21","21","3","0","1","0","0"
"30〜34歳","47","10","19","25","2","0","0","0","0"
"35〜39歳","37","17","15","16","1","0","1","0","0"
"40〜44歳","21","15","16","17","1","0","0","0","0"
"45〜49歳","25","19","12","14","0","0","1","1","1"
"50〜54歳","18","10","7","7","0","0","0","0","0"
"55〜59歳","3","4","3","3","0","0","1","0","0"
"60〜64歳","1","5","3","1","0","0","2","0","0"
"65〜69歳","1","2","0","1","0","0","11","1","0"
"70歳以上","0","1","0","0","1","0","31","1","2"
"合計","247","118","113","128","9","0","80","7","4"
