"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","4","2","8","0","12","0","0","6","1","0","0","0","0","0","0","1","0","0","0","4","3","0","2","2","0"
"中央区","0","1","3","13","23","0","26","0","2","2","0","0","0","0","0","0","0","0","0","0","0","4","2","1","0","0","0"
"みなと","1","7","2","8","30","1","29","1","2","3","0","0","0","0","0","0","0","2","0","0","0","9","6","0","1","1","0"
"新宿区","2","5","3","20","43","7","39","0","3","18","0","0","2","0","0","0","0","0","0","0","0","12","8","1","2","2","0"
"文京","0","1","0","8","7","0","19","0","1","4","1","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","1","2","5","12","45","3","25","4","4","12","0","2","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","1","1","1","1","14","2","20","0","3","4","0","0","0","0","0","0","0","1","0","0","0","8","5","1","1","1","0"
"江東区","2","10","2","28","65","10","138","0","6","17","2","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","0","0","3","10","52","3","28","2","3","14","1","1","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","0","2","1","22","25","1","54","3","3","7","1","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","0","10","9","49","130","7","51","11","8","18","1","0","0","0","4","0","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","3","0","9","57","82","18","114","3","7","35","5","3","0","0","0","0","1","0","0","0","0","24","16","2","2","2","0"
"渋谷区","1","0","0","5","22","0","11","0","1","1","1","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"中野区","0","2","4","24","24","0","37","4","8","5","0","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","1","3","4","18","69","4","33","0","6","6","0","1","1","0","1","0","0","0","0","0","0","17","11","1","2","2","0"
"池袋","0","5","2","3","10","1","5","0","0","9","0","0","0","0","2","0","0","0","0","0","0","7","4","1","1","1","0"
"北区","2","0","2","5","32","5","35","0","2","1","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","0","7","9","9","37","5","17","9","2","3","0","0","0","0","1","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","4","2","0","19","47","16","47","2","3","15","0","1","0","1","2","0","0","0","0","0","0","15","10","2","1","1","0"
"練馬区","0","2","8","33","45","23","82","4","7","21","1","1","1","0","1","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","10","4","6","30","101","4","38","7","7","20","3","0","0","0","1","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","1","0","0","9","58","2","54","0","7","8","0","3","0","0","0","0","0","0","0","0","0","13","8","1","1","1","0"
"江戸川","0","0","3","36","67","6","76","7","6","38","0","1","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","2","6","8","43","115","9","39","2","11","13","4","0","0","0","2","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","0","1","2","42","73","1","33","6","3","21","2","2","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","0","0","8","13","32","0","10","1","2","2","1","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","0","7","7","16","55","8","9","3","5","1","1","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","0","7","0","18","32","5","32","11","4","11","2","0","0","0","0","0","0","0","0","0","0","20","13","2","1","1","0"
"多摩府中","0","3","14","44","112","28","92","11","10","18","7","12","0","0","0","0","0","2","0","1","0","32","21","3","3","3","0"
"多摩小平","0","9","30","64","89","15","119","9","9","24","6","2","0","0","2","0","0","0","0","0","0","22","14","2","2","2","0"
"島しょ","0","0","0","8","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","31","97","149","669","1544","185","1325","100","135","357","40","29","4","1","16","0","1","6","0","1","0","412","260","38","25","25","0"
