"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","9","3","1","0"
"1〜4歳","0","0","0","0","0","0","2","7","0","0"
"5〜9歳","0","0","0","0","0","0","3","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","1","0","0"
"15〜19歳","4","0","0","1","0","1","0","0","0","0"
"20〜24歳","18","1","5","10","0","0","0","0","0","0"
"25〜29歳","23","9","5","13","0","1","1","1","0","0"
"30〜34歳","19","13","13","18","0","5","0","2","0","0"
"35〜39歳","15","11","12","5","0","1","0","2","0","0"
"40〜44歳","9","14","13","11","0","1","1","0","0","0"
"45〜49歳","8","10","3","3","0","1","1","0","0","0"
"50〜54歳","6","7","3","4","0","0","3","1","0","0"
"55〜59歳","2","4","2","1","0","0","1","0","0","0"
"60〜64歳","1","2","3","1","0","1","6","0","0","0"
"65〜69歳","1","3","0","0","0","0","8","2","0","0"
"70歳以上","0","3","0","0","0","0","28","15","1","0"
"合計","106","77","59","67","0","11","64","35","2","0"
