"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","8","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","11","14","11","0","1","29","1","1","0","6","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","1","1"
"1歳","48","29","27","5","6","57","0","1","0","12","0","1","2","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","1"
"2歳","59","13","12","8","28","64","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"3歳","79","11","4","3","52","67","2","0","3","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","104","23","2","3","62","69","1","0","2","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","164","11","1","3","63","81","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","214","11","0","4","59","70","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"7歳","282","7","0","1","57","58","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0"
"8歳","299","14","0","1","50","55","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0"
"9歳","262","11","1","1","36","33","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","998","85","0","1","61","92","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"15〜19歳","292","48","0","0","6","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","1","1"
"20〜29歳","100","92","0","1","24","67","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","116","74","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"40〜49歳","84","83","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","1","2"
"50〜59歳","32","94","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","2"
"60〜69歳","12","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","1","0","1","1","12"
"70〜79歳","10","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","27","0","0","0","0","0","2","0","2","2","25"
"80歳以上","3","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","30","0","0","0","0","0","3","0","1","1","28"
"合計","3177","723","67","31","505","771","19","3","9","27","1","6","5","2","0","8","0","1","0","0","0","14","84","1","1","1","0","0","12","1","9","7","74"
