"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","8","0","4","0","6","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","1","5","0","0","0","12","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","9","24","4","0","3","4","0","2","0","1","2","1","0","1","0","0","0","0","0","0","0","1","","","","","",""
"新宿区","4","24","6","2","4","18","0","0","0","1","2","0","0","0","1","1","0","0","0","0","0","0","","","","","",""
"文京","9","13","1","0","0","6","0","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","9","12","2","0","3","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","4","14","1","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","9","20","2","0","10","40","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","18","17","1","4","5","16","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","6","16","1","0","4","10","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","17","34","10","3","16","51","0","0","0","3","4","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","26","51","2","1","9","68","0","0","3","0","7","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"渋谷区","3","9","0","0","0","9","0","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"中野区","16","14","5","0","12","31","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","20","27","1","1","6","14","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","3","28","0","1","1","6","0","4","0","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北区","9","31","0","3","10","29","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","8","20","6","0","2","18","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","2","42","0","0","0","31","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"練馬区","44","51","4","4","12","51","3","4","0","6","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","15","38","1","2","3","42","0","5","0","2","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","7","23","2","0","3","30","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","8","36","8","3","6","39","0","1","0","1","11","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","23","30","2","3","12","89","0","2","0","2","7","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","1","16","1","0","7","34","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","4","21","0","0","1","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","4","27","1","2","5","19","1","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","24","24","3","0","9","37","0","5","0","4","2","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","64","73","2","4","18","70","3","1","0","6","5","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"多摩小平","33","45","9","11","14","84","5","4","0","7","15","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","400","793","77","48","178","895","18","41","4","45","92","4","3","2","1","6","0","0","0","0","0","2","","","","","",""
