"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","39","32","32","26","0","1","5","0","0","0","",""
"区南部","13","5","2","7","0","0","0","0","0","0","",""
"区西南部","7","3","0","2","0","0","4","0","0","0","",""
"区西部","29","15","24","24","0","13","4","3","0","0","",""
"区西北部","14","4","5","8","0","0","4","5","0","0","",""
"区東北部","2","0","1","1","0","0","4","5","0","0","",""
"区東部","18","14","2","15","0","1","2","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","1","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","12","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","2","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","123","73","66","83","0","15","37","15","0","0","",""
