"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","1","2","12","22","0","12","2","10","0","0","1","0","0","0","0","1","1","0","0","0","0","0","","","","","",""
"区南部","0","0","1","9","52","4","12","0","6","3","0","7","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"区西南部","0","0","3","5","20","4","23","0","5","0","0","3","0","0","0","0","1","1","0","0","0","0","0","","","","","",""
"区西部","0","0","4","4","44","2","13","0","3","0","0","9","0","1","0","1","0","0","1","0","0","0","0","","","","","",""
"区西北部","0","0","2","6","22","1","8","2","7","0","0","7","0","1","0","0","0","2","0","0","0","0","0","","","","","",""
"区東北部","0","0","0","3","15","4","6","0","5","0","0","8","0","3","1","0","1","1","0","0","2","0","0","","","","","",""
"区東部","0","1","0","5","28","2","7","1","8","0","0","6","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","1","0","5","3","4","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"南多摩","0","0","0","25","68","3","12","10","9","1","0","9","1","1","3","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","3","13","2","1","0","2","0","0","2","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","0","0","8","0","2","1","4","0","0","1","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","1","1","4","31","3","7","0","3","0","0","7","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1","3","14","76","328","28","112","18","63","4","0","61","2","13","4","1","3","9","1","0","2","0","0","","","","","",""
