"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","4","0","0"
"1〜4歳","0","0","0","0","0","0","7","15","0","0"
"5〜9歳","0","0","0","0","0","0","4","1","0","0"
"10〜14歳","1","0","0","0","0","0","2","0","0","0"
"15〜19歳","8","2","1","2","1","0","0","0","0","0"
"20〜24歳","36","9","10","12","1","1","1","0","0","0"
"25〜29歳","50","14","13","26","3","1","0","0","0","0"
"30〜34歳","41","7","18","15","0","1","0","1","0","0"
"35〜39歳","28","9","11","6","1","6","2","2","0","0"
"40〜44歳","13","13","7","5","0","4","3","1","0","0"
"45〜49歳","12","14","7","5","1","1","3","0","0","0"
"50〜54歳","1","5","4","1","0","1","1","3","0","0"
"55〜59歳","6","3","1","1","0","0","4","1","0","0"
"60〜64歳","4","3","0","1","2","0","1","2","0","0"
"65〜69歳","1","3","1","0","0","0","7","6","0","0"
"70歳以上","0","4","0","2","1","0","26","22","0","0"
"合計","201","86","73","76","10","15","67","58","0","0"
