"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","11","0","0","16","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","13","2","0","61","6","6","0","26","0","1","0","0","0","0","0","0","0","0","0"
"1歳","3","24","4","5","128","21","27","7","38","0","3","2","3","1","0","1","0","0","3","0"
"2歳","3","3","7","13","104","16","10","4","4","0","0","5","1","0","0","0","0","0","0","0"
"3歳","1","2","4","22","96","23","7","6","0","0","2","8","2","0","0","1","0","0","1","0"
"4歳","2","0","12","18","81","8","10","8","1","0","3","14","0","0","0","0","0","0","4","0"
"5歳","5","0","2","24","68","9","2","10","0","0","3","11","0","0","0","0","0","0","0","0"
"6歳","3","0","2","24","64","10","0","9","1","0","1","9","1","0","0","0","0","0","0","0"
"7歳","5","0","0","26","33","7","2","5","0","0","2","5","0","1","0","1","0","0","1","0"
"8歳","3","0","1","18","35","2","0","3","0","0","0","2","0","0","0","0","0","0","3","0"
"9歳","2","0","0","14","24","1","0","2","0","0","0","3","0","0","0","0","0","0","0","0"
"10〜14歳","6","0","2","24","59","4","0","0","0","1","1","4","0","1","0","1","0","0","1","0"
"15〜19歳","3","0","0","0","18","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","1","0","1","10","91","1","1","1","0","2","4","3","0","0","0","2","0","0","0","0"
"30〜39歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","44","53","37","198","878","109","65","56","71","4","20","66","7","3","0","24","0","0","13","0"
