"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","8","12","1","0","22","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","9","16","28","15","5","126","1","4","1","21","11","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","18","28","55","41","10","267","3","36","4","49","42","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","23","13","31","24","24","175","2","13","0","18","34","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","32","16","29","15","39","203","3","7","0","3","28","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","42","11","12","10","50","241","2","6","1","3","20","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"5歳","54","17","4","7","64","207","2","2","0","1","10","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"6歳","79","12","0","8","77","149","2","6","1","1","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","78","23","0","0","47","122","3","1","1","0","1","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","71","18","0","1","27","92","7","2","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"9歳","58","24","0","0","21","61","4","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","178","128","0","1","30","117","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","60","153","0","0","6","21","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","22","205","0","2","20","134","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","48","169","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","41","184","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","16","226","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","4","103","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","4","66","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"80歳以上","1","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","838","1472","171","125","420","1937","33","80","9","96","159","9","9","2","1","13","0","0","1","0","0","4","0","0","0","0","0","4","0"
