"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","10","3","0","0"
"1〜4歳","0","0","0","0","0","0","13","6","0","0"
"5〜9歳","0","0","0","0","0","0","2","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","1","0","0"
"15〜19歳","5","0","1","4","0","0","3","0","0","0"
"20〜24歳","16","3","3","10","0","1","0","1","0","0"
"25〜29歳","18","8","5","17","0","2","2","0","0","0"
"30〜34歳","27","13","9","14","0","3","0","0","0","0"
"35〜39歳","20","13","14","17","0","2","1","1","0","0"
"40〜44歳","11","12","8","7","0","0","0","0","0","0"
"45〜49歳","9","9","5","8","0","1","1","2","0","0"
"50〜54歳","2","6","3","4","0","1","1","0","0","0"
"55〜59歳","3","3","1","2","0","0","2","0","0","0"
"60〜64歳","2","4","1","1","0","0","4","0","0","0"
"65〜69歳","0","1","0","3","0","0","7","1","0","0"
"70歳以上","1","2","0","2","0","0","24","5","2","0"
"合計","114","74","50","89","0","10","71","21","2","0"
