"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","0","4","2","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","0","0","1","2","4","0","11","1","3","0","7","1","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","0","0","2","5","20","2","95","1","5","0","38","0","0","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"新宿区","0","8","6","12","13","0","25","3","5","1","30","0","4","0","0","1","0","0","3","0","0","12","8","1","2","2","0"
"文京","0","0","2","1","3","0","19","3","0","0","14","0","3","0","0","0","0","0","0","0","0","6","3","1","1","1","0"
"台東","0","0","1","1","30","4","19","2","3","0","36","4","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","0","2","5","5","8","2","13","8","3","0","20","1","3","0","0","0","0","0","0","0","0","8","5","1","1","1","0"
"江東区","1","0","10","5","89","7","77","3","11","0","66","3","3","1","0","3","0","0","0","0","0","14","9","1","0","0","0"
"品川区","0","0","14","5","27","3","35","1","2","0","27","1","1","0","0","0","0","0","0","0","0","11","8","1","0","0","0"
"目黒区","0","0","2","1","5","0","22","0","2","0","18","2","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"大田区","0","13","18","39","93","18","210","23","9","2","98","7","7","0","0","0","0","0","1","0","0","21","13","2","1","1","0"
"世田谷","0","0","6","43","43","18","107","5","7","0","91","3","3","0","2","0","0","0","0","0","0","25","16","2","1","2","0"
"渋谷区","0","0","3","4","7","5","71","2","1","0","8","2","0","0","0","3","0","0","0","0","0","7","4","1","1","1","0"
"中野区","0","4","0","17","24","14","46","5","6","0","46","1","1","0","0","1","0","0","0","0","0","11","7","1","1","1","0"
"杉並","1","0","6","22","26","7","65","6","6","0","16","7","2","0","0","0","0","0","0","0","0","16","10","1","1","1","0"
"池袋","0","0","0","0","9","0","10","0","2","0","5","1","0","0","0","1","0","0","0","0","0","8","5","1","1","1","0"
"北区","0","0","0","1","7","2","53","3","0","0","48","1","1","1","1","1","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","0","4","11","7","16","4","29","3","4","7","121","1","7","2","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","0","0","3","1","27","4","22","16","7","0","40","2","4","0","0","0","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","0","0","11","25","46","16","142","10","7","2","119","6","1","3","0","2","0","0","0","0","0","21","13","2","0","0","0"
"足立","0","0","11","20","58","9","39","3","10","0","244","2","2","0","1","3","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","0","0","0","6","19","8","37","0","5","0","119","3","3","0","0","1","0","0","9","0","0","12","7","1","1","1","0"
"江戸川","0","2","34","22","81","12","51","4","11","0","196","8","4","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","0","2","18","39","101","22","180","14","14","0","59","7","5","0","0","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","1","1","5","30","62","23","56","10","12","0","92","4","6","1","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","0","0","14","2","26","7","28","11","3","0","16","3","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","0","2","10","18","32","18","129","10","9","0","49","9","1","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","0","0","15","24","45","13","147","9","13","0","29","6","5","0","0","1","0","0","0","0","0","21","14","2","1","1","0"
"多摩府中","0","1","28","27","37","29","292","19","23","1","56","12","8","0","0","0","1","0","1","0","0","33","21","1","3","3","0"
"多摩小平","0","3","28","33","69","23","146","20","17","0","73","12","5","0","0","3","1","1","2","0","0","23","15","2","2","2","0"
"島しょ","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","3","42","264","417","1031","272","2177","195","200","13","1787","109","79","8","4","20","2","1","16","0","0","415","261","36","24","25","0"
