"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","2","61","0","1","7","0","9","0","0","1","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","107","3","0","65","4","78","0","25","30","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","5","164","18","8","117","3","221","4","63","101","1","9","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"2歳","8","69","11","12","83","0","131","4","17","71","2","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","1","20","6","32","87","4","75","4","6","50","2","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"4歳","6","11","10","38","58","6","61","7","2","29","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","2","3","6","45","53","11","33","7","2","23","4","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"6歳","5","0","1","35","57","8","23","9","0","16","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","21","46","6","10","2","0","12","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","2","0","2","17","34","8","10","4","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","1","0","16","37","3","8","0","0","7","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","4","3","4","18","75","8","23","2","0","10","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","0","3","21","0","3","0","0","4","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","3","1","2","22","95","2","18","1","0","9","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","51","440","63","268","835","63","703","44","115","370","25","32","3","0","17","0","2","5","0","0","1","0","0","0","0","0","1","0"
