"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","5","5","4","0","0","0","4","0","0","0","",""
"区南部","6","0","0","0","0","0","2","0","0","0","",""
"区西南部","1","5","1","0","1","0","0","2","0","0","",""
"区西部","10","6","10","4","5","0","8","3","0","0","",""
"区西北部","23","5","0","2","4","0","4","0","0","0","",""
"区東北部","4","2","1","0","1","0","3","6","0","0","",""
"区東部","1","0","0","1","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","13","6","1","1","1","0","0","0","0","0","",""
"北多摩西部","12","1","0","2","1","0","0","0","0","0","",""
"北多摩南部","0","0","1","1","0","0","9","10","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","75","30","18","11","13","0","31","22","0","0","",""
