"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","7","0","0","0","8","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","15","0","0","0","17","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","65","0","0","2","38","16","0","3","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2歳","67","0","0","1","46","13","0","2","0","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0"
"3歳","102","0","0","5","45","11","0","4","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"4歳","80","0","0","3","51","15","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"5歳","77","0","0","8","48","8","1","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"6歳","68","0","0","5","43","4","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"7歳","46","0","0","4","38","1","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"8歳","42","0","0","2","34","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"9歳","40","0","0","2","25","3","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","152","0","0","2","43","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","45","0","0","2","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","108","0","0","2","116","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0"
"30〜39歳","174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"40〜49歳","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"50〜59歳","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1221","0","0","38","567","74","1","14","29","0","2","3","0","25","1","0","0","8","0","0","0","0","0","0"
