"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","168","18","0","36","55","48","1","4","1","0","1","0","0","0","0","1","0","0","0","0","0","0","4","","","","","",""
"区南部","187","18","2","31","58","79","1","4","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","209","31","2","32","61","64","1","7","1","0","1","0","0","0","0","4","0","0","0","0","0","5","4","","","","","",""
"区西部","307","19","4","21","39","67","1","7","0","1","0","0","0","0","0","5","0","0","0","0","0","0","2","","","","","",""
"区西北部","462","52","0","67","52","107","5","5","2","2","2","1","1","0","0","6","0","0","0","0","0","1","2","","","","","",""
"区東北部","403","31","0","53","60","92","2","6","0","7","1","0","1","0","0","1","0","0","0","0","0","0","0","","","","","",""
"区東部","339","39","0","81","64","87","2","6","0","5","0","1","0","0","0","3","1","0","0","0","0","3","1","","","","","",""
"西多摩","93","8","1","2","12","15","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","494","36","0","50","71","94","2","20","1","2","2","1","0","0","0","7","0","0","0","0","0","0","8","","","","","",""
"北多摩西部","200","25","0","13","31","23","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","","","","","",""
"北多摩南部","344","27","0","44","73","50","3","4","1","1","0","2","0","1","0","0","0","0","0","0","0","4","9","","","","","",""
"北多摩北部","283","23","0","45","72","62","0","5","0","2","2","0","0","0","0","2","0","0","0","0","0","6","1","","","","","",""
"島しょ","80","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3569","328","9","475","648","788","19","74","6","24","10","5","3","1","0","30","1","0","0","0","0","19","33","","","","","",""
