"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","15","1","1","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","","","","","",""
"中央区","0","11","0","1","1","9","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","4","23","2","0","4","7","0","12","3","1","2","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"新宿区","0","30","2","1","5","10","0","11","1","0","0","0","0","0","0","0","0","0","7","0","0","0","6","","","","","",""
"文京","0","25","0","0","4","3","0","11","11","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"台東","0","8","0","1","4","10","0","18","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","29","0","1","3","6","0","19","1","0","4","0","0","0","0","0","1","0","5","0","0","1","6","","","","","",""
"江東区","4","32","5","1","5","16","1","27","3","5","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","20","2","1","2","11","0","14","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","15","0","0","0","4","0","8","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","6","50","2","0","8","22","0","61","8","4","12","1","0","0","0","2","0","0","0","0","0","0","2","","","","","",""
"世田谷","5","59","3","2","6","11","0","35","3","2","6","0","0","0","0","0","0","0","3","0","0","0","5","","","","","",""
"渋谷区","1","7","0","0","0","4","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"中野区","4","25","0","0","3","18","0","33","1","0","6","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"杉並","3","38","2","1","2","10","0","22","5","4","2","0","0","0","0","0","0","0","2","0","0","0","1","","","","","",""
"池袋","5","28","1","1","1","4","0","16","3","1","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","0","29","1","2","2","8","0","27","11","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","23","1","0","6","5","0","18","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"板橋区","2","48","1","0","3","7","0","11","3","1","1","1","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"練馬区","2","61","1","4","21","8","1","30","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","0","46","7","1","11","12","0","12","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","1","38","0","0","4","9","2","10","0","3","3","0","0","0","0","0","0","0","4","0","0","1","2","","","","","",""
"江戸川","2","53","0","0","5","18","3","33","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","5","51","1","3","18","23","0","40","0","2","9","0","1","0","0","2","0","0","0","0","0","0","4","","","","","",""
"町田市","2","31","0","0","1","13","0","25","2","1","3","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","28","0","0","0","4","0","8","0","1","4","0","0","0","0","0","0","0","1","0","0","0","3","","","","","",""
"南多摩","0","34","2","0","1","9","0","14","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","0","54","2","0","5","15","0","24","1","1","3","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"多摩府中","3","75","0","1","15","23","1","71","15","1","8","0","0","0","0","0","0","0","4","0","0","1","3","","","","","",""
"多摩小平","7","75","2","2","20","18","1","82","2","5","6","0","1","0","0","1","0","0","1","0","0","1","9","","","","","",""
"島しょ","0","9","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","56","1070","38","24","161","319","9","702","84","45","99","4","2","0","0","7","1","0","27","0","0","5","61","","","","","",""
