"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","7","7","3","2","0","0","0","0","0","0","2","2"
"中央区","11","2","1","2","0","0","0","0","0","0","3","0"
"みなと","8","30","16","4","0","1","10","0","0","0","2","1"
"新宿区","27","21","25","39","1","4","9","1","0","0","7","2"
"文京","2","0","0","5","0","0","0","2","1","0","1","1"
"台東","0","1","0","0","1","0","0","0","0","0","2","0"
"墨田区","5","1","0","2","1","1","3","1","0","0","2","1"
"江東区","8","9","0","10","0","1","0","0","0","0","2","0"
"品川区","3","7","2","6","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0","0"
"大田区","5","0","0","2","0","0","1","1","0","0","2","1"
"世田谷","0","0","0","0","0","0","1","4","0","0","0","2"
"渋谷区","18","14","1","2","0","0","0","0","0","0","5","1"
"中野区","4","0","0","0","2","0","0","0","0","0","2","1"
"杉並","2","0","0","1","0","0","3","0","0","0","2","1"
"池袋","13","8","6","5","0","0","2","4","1","0","3","1"
"北区","2","0","1","1","0","0","0","0","0","0","1","0"
"荒川区","3","3","0","0","0","0","0","0","0","0","1","0"
"板橋区","4","1","0","3","0","0","2","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0","0"
"足立","2","0","1","2","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","2","4","1","0","0","1"
"江戸川","4","2","0","0","1","0","0","0","0","0","2","0"
"八王子市","6","0","0","0","0","0","3","0","0","0","4","1"
"町田市","1","2","0","0","2","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","20","0","2","1","1","1","1","0","0","0","2","1"
"多摩府中","0","0","1","0","0","0","37","0","0","0","3","3"
"多摩小平","0","0","0","0","1","0","2","5","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","0","1"
"合計","155","108","59","87","10","8","76","22","3","0","55","25"
