"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","5","1","0","0"
"1〜4歳","0","0","0","0","0","0","5","1","0","0"
"5〜9歳","0","0","0","0","0","0","1","1","0","0"
"10〜14歳","0","0","0","0","0","0","2","0","0","0"
"15〜19歳","3","0","1","2","0","0","2","0","0","0"
"20〜24歳","15","1","4","15","0","0","0","0","0","0"
"25〜29歳","17","7","5","11","0","1","0","0","0","0"
"30〜34歳","22","8","12","21","0","1","1","0","0","0"
"35〜39歳","19","8","4","17","0","3","0","2","0","0"
"40〜44歳","17","13","5","7","0","0","1","0","0","0"
"45〜49歳","15","7","10","9","0","1","1","1","0","0"
"50〜54歳","5","5","4","4","0","1","1","1","0","0"
"55〜59歳","3","3","1","2","0","0","2","0","0","0"
"60〜64歳","2","2","2","0","0","0","1","2","0","0"
"65〜69歳","0","5","0","0","0","1","1","6","0","0"
"70歳以上","0","1","0","0","0","0","18","13","1","0"
"合計","118","60","48","88","0","8","41","28","1","0"
