"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","3","0","0","19","0","0","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","12","5","4","73","0","1","1","30","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1歳","6","13","18","23","116","2","2","3","46","1","1","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"2歳","5","6","11","29","88","2","3","2","10","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","11","1","7","70","84","2","1","3","2","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","8","2","1","70","91","1","0","6","1","0","2","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","1"
"5歳","7","0","4","63","75","3","2","5","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"6歳","6","0","1","57","58","4","1","5","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"7歳","8","0","1","44","58","6","1","9","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","3","0","1","40","50","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","5","0","0","38","32","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10〜14歳","19","0","1","49","105","7","0","4","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","18","0","0","3","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","13","0","2","15","60","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","14","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","150","37","52","505","919","33","12","41","92","3","17","6","3","0","7","1","0","1","0","4","2","1","1","0","0","1","1","1"
