"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","0","0","1","3","3","1","2","1","0","0","0","1","0","1","0","2","0","0","0","0","0","","","","","",""
"みなと","1","1","4","5","9","1","0","3","3","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","0","0","0","11","19","2","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","2","0","0","5","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","5","0","1","5","16","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","4","0","4","10","7","2","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","1","0","3","12","32","8","3","3","2","3","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","0","3","16","26","4","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","4","0","0","1","10","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"大田区","4","1","6","20","64","8","1","11","1","0","1","3","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","8","1","3","22","83","6","0","6","10","0","0","4","1","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","0","0","1","2","8","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","1","0","1","6","17","2","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"杉並","3","0","0","16","31","0","4","4","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","2","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","1","0","0","3","14","5","0","2","1","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"荒川区","2","2","3","14","12","0","0","1","1","0","0","0","2","1","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","0","0","4","16","5","1","5","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","10","0","8","31","38","9","1","8","4","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","3","0","0","9","62","9","0","5","5","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","3","0","0","9","32","4","1","1","1","0","0","3","1","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","4","1","6","18","55","8","4","4","5","0","3","7","1","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","7","1","3","25","77","5","0","5","5","0","0","1","2","0","0","1","0","0","0","0","0","","","","","",""
"町田市","5","1","1","28","44","14","0","1","6","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","5","0","2","3","18","4","2","5","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","4","0","2","23","38","9","0","5","3","0","1","10","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","4","1","1","28","47","12","0","6","3","0","0","5","1","0","0","1","0","0","0","0","0","","","","","",""
"多摩府中","5","0","6","33","96","23","1","13","11","1","1","1","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","8","1","10","50","65","17","1","17","5","0","1","5","3","2","0","1","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","96","10","70","415","948","167","22","120","84","6","9","53","14","4","0","7","0","0","0","0","0","","","","","",""
