"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","15","75","9","7","19","51","4","3","0","2","12","2","0","0","0","0","0","1","0","0","0","0","","","","","",""
"区南部","35","34","13","8","34","95","1","3","0","5","19","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","43","95","9","1","28","102","5","5","0","6","19","10","2","0","0","1","0","0","0","0","0","1","","","","","",""
"区西部","35","69","11","6","20","78","2","5","0","3","2","1","1","1","0","1","0","0","0","0","0","0","","","","","",""
"区西北部","91","142","24","10","31","112","0","10","0","4","11","0","4","0","2","0","0","0","0","0","0","0","","","","","",""
"区東北部","15","67","17","11","13","129","1","9","0","1","22","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","16","81","24","5","18","78","2","5","0","3","39","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","10","16","0","2","3","9","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","30","73","8","11","34","183","0","6","0","10","10","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","4","29","6","6","12","33","0","1","0","1","2","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","78","97","7","6","25","81","2","1","0","9","7","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","24","48","14","10","10","92","4","3","0","8","36","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","1","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","397","832","145","83","247","1043","22","52","0","54","179","16","10","1","2","3","0","1","0","0","0","1","","","","","",""
