"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","6","0","0"
"1〜4歳","0","0","0","0","0","0","7","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0"
"10〜14歳","0","0","0","1","0","0","3","0","0"
"15〜19歳","11","0","1","2","0","0","0","0","0"
"20〜24歳","47","7","8","15","2","0","0","0","0"
"25〜29歳","36","6","15","13","0","0","1","0","0"
"30〜34歳","33","6","12","12","2","0","2","0","0"
"35〜39歳","20","10","6","9","0","0","1","0","0"
"40〜44歳","12","7","4","4","1","0","0","0","0"
"45〜49歳","1","7","6","1","0","0","5","0","0"
"50〜54歳","3","2","3","4","1","0","4","0","0"
"55〜59歳","6","1","4","1","1","0","2","0","0"
"60〜64歳","0","0","2","0","0","0","5","0","0"
"65〜69歳","1","0","0","0","0","0","4","0","1"
"70歳以上","0","2","1","0","1","0","31","1","0"
"合計","170","48","62","62","8","0","72","1","1"
