"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","17","0","0","10","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","6","20","2","0","73","4","0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","8","24","12","3","187","10","3","2","23","0","1","0","5","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2歳","12","3","9","8","120","6","1","2","8","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"3歳","11","5","5","9","71","6","0","10","1","1","0","11","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"4歳","10","0","3","22","55","21","0","7","2","0","1","11","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"5歳","9","0","5","27","57","10","1","10","0","0","0","12","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"6歳","17","0","3","35","54","11","0","6","0","0","0","10","0","0","0","1","0","1","3","0","0","0","0","0","0","0","0","0","0"
"7歳","16","0","2","23","40","13","0","3","0","0","0","14","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"8歳","15","0","1","24","39","13","0","6","1","0","0","15","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","10","0","1","19","33","3","1","1","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","26","0","0","32","103","8","0","1","0","2","0","14","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","16","0","1","2","34","0","0","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","32","0","3","28","214","2","0","1","0","2","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"80歳以上","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","5","0"
"合計","326","69","47","232","1090","110","6","51","47","5","2","98","6","4","0","9","0","1","27","0","0","6","0","0","0","0","0","6","0"
