"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","21","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","17","0","0","2","13","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","41","0","1","14","10","0","1","1","2","0","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"新宿区","54","1","1","8","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","25","0","0","5","22","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"台東","12","0","0","3","11","1","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","29","0","0","3","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"江東区","59","1","1","14","46","1","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","33","1","0","3","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","23","3","0","7","16","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","81","1","1","13","47","2","1","4","2","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","169","3","4","15","45","2","1","6","0","0","1","1","0","0","0","0","0","0","0","2","3","","","","","",""
"渋谷区","16","0","0","0","16","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","41","0","0","19","21","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","56","2","0","3","21","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"池袋","24","3","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","","","","","",""
"北区","48","1","2","2","12","1","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","35","2","0","6","14","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","51","0","0","0","19","4","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","112","3","1","21","32","1","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","79","1","0","8","43","1","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","61","0","0","11","22","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江戸川","96","0","0","10","35","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","147","2","4","14","47","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","69","1","0","7","25","2","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","77","0","0","3","21","12","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","90","0","0","4","21","5","0","6","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","135","1","0","11","31","1","1","1","5","0","0","0","0","0","0","0","0","0","0","1","1","","","","","",""
"多摩府中","210","3","2","15","69","5","0","11","5","1","0","1","0","0","1","0","0","0","1","0","9","","","","","",""
"多摩小平","142","6","5","21","35","0","2","5","2","0","0","0","0","0","0","1","1","0","0","0","5","","","","","",""
"島しょ","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2105","35","23","242","746","48","12","88","39","1","5","4","2","0","2","1","1","1","1","6","28","","","","","",""
