"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","4","3","3","0","3","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","11","5","4","0","17","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","0","1","4","19","15","23","1","15","0","1","41","0","2","4","0","0","0","0","0","0","1","0","0"
"2歳","0","0","3","4","15","9","16","1","2","0","0","39","1","3","1","1","0","0","0","0","0","0","0","0"
"3歳","0","0","2","4","13","16","13","1","0","0","0","34","1","6","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","2","5","25","19","8","2","0","0","0","35","1","11","0","1","0","0","0","0","0","0","0","0"
"5歳","0","0","1","10","15","11","6","6","0","0","0","14","2","6","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","9","13","2","7","0","0","0","0","9","0","6","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","4","7","3","1","6","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","2","12","0","0","1","0","0","0","3","1","3","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","3","10","2","0","4","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","1","9","0","0","2","0","0","0","6","1","2","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"20〜29歳","0","0","3","6","37","1","4","3","0","0","0","1","1","2","0","0","0","7","0","0","0","0","0","1"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","12","53","197","86","85","27","37","0","1","202","8","46","7","2","1","15","0","0","0","1","0","2"
