"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","41","0","0","12","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","60","3","5","127","4","4","2","48","0","1","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","4","120","25","11","338","9","20","5","66","1","2","6","5","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","56","11","17","231","8","8","6","17","0","1","9","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"3歳","1","15","13","54","204","9","3","9","6","0","4","12","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","3","14","13","88","176","29","8","16","3","0","0","15","2","1","0","1","0","0","5","0","1","0","0","0","0","0","0","0","0"
"5歳","3","4","8","74","130","21","2","12","0","0","0","26","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"6歳","2","0","5","85","110","11","5","15","2","0","1","12","0","0","0","1","0","0","9","0","0","0","0","0","0","0","0","0","0"
"7歳","3","0","4","91","75","14","2","5","0","1","0","26","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"8歳","3","0","1","68","61","17","1","7","1","2","0","13","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0"
"9歳","3","0","1","56","54","6","1","2","0","2","0","11","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","18","0","2","75","128","11","3","9","0","2","1","9","1","0","0","3","0","0","10","0","0","1","0","0","1","0","0","0","1"
"15〜19歳","4","0","1","5","34","2","0","0","0","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","2","0","2","26","191","1","0","1","0","0","0","1","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"合計","61","310","89","655","1871","142","57","89","143","8","10","141","19","3","0","30","0","1","40","3","1","1","0","0","1","0","0","0","1"
