"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","7","0","0","0","3","2","0","0","2","1","0","0","3","0","0","0","0","0","0","0"
"〜1歳","47","1","1","1","21","3","0","0","19","0","0","0","1","0","0","0","0","0","0","0"
"1歳","132","1","0","0","52","6","1","0","14","0","0","0","3","0","0","0","0","0","0","0"
"2歳","152","0","1","7","43","17","0","1","1","1","0","3","0","0","0","0","0","0","0","0"
"3歳","175","0","2","15","33","6","0","1","0","0","1","4","0","0","0","0","0","0","1","0"
"4歳","262","0","3","20","43","11","1","0","0","0","1","1","1","0","0","0","0","0","0","0"
"5歳","250","0","1","14","24","9","1","1","0","0","0","4","0","0","0","0","0","0","0","0"
"6歳","285","0","0","23","30","4","0","0","1","0","0","2","0","0","0","0","0","0","0","0"
"7歳","327","0","0","19","23","4","0","4","0","0","1","2","0","0","0","0","0","0","0","0"
"8歳","280","0","0","14","15","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0"
"9歳","198","0","0","10","21","2","0","2","0","0","0","1","0","0","0","0","0","0","0","0"
"10〜14歳","664","0","0","10","57","1","0","0","0","2","0","1","0","0","0","0","0","0","2","0"
"15〜19歳","138","0","0","2","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"20〜29歳","261","0","1","13","132","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","516","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"40〜49歳","332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"50〜59歳","116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","4218","2","9","148","508","65","3","12","37","5","3","20","8","0","1","2","0","0","3","1"
