"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","5","0","0","0"
"1〜4歳","0","0","0","0","0","0","1","9","0","0"
"5〜9歳","0","0","0","0","0","0","0","3","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","15","3","2","3","0","0","0","0","0","0"
"20〜24歳","28","6","10","6","1","0","0","0","0","0"
"25〜29歳","19","7","6","4","3","0","0","0","0","0"
"30〜34歳","13","6","3","2","2","1","0","1","0","0"
"35〜39歳","10","7","2","0","1","0","1","0","0","0"
"40〜44歳","6","2","1","0","0","0","0","0","0","0"
"45〜49歳","2","3","1","0","1","0","0","1","0","0"
"50〜54歳","1","0","0","0","0","0","0","0","0","0"
"55〜59歳","0","1","0","0","0","0","0","1","0","0"
"60〜64歳","0","2","0","0","0","1","2","0","0","0"
"65〜69歳","0","0","0","0","0","0","3","1","0","0"
"70歳以上","0","1","0","0","0","1","15","1","0","0"
"合計","94","38","25","15","8","3","27","17","0","0"
