"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","14","4","2","7","0","0","0","0","0","0","",""
"中央区","8","6","2","2","0","0","0","0","0","0","",""
"みなと","13","35","11","5","0","0","4","0","0","0","",""
"新宿区","35","6","33","27","0","6","8","0","0","0","",""
"文京","7","1","3","3","0","0","2","0","1","0","",""
"台東","2","2","1","1","0","0","0","0","0","0","",""
"墨田区","3","1","0","2","0","0","3","1","0","0","",""
"江東区","14","3","3","5","0","2","0","0","0","0","",""
"品川区","10","2","1","5","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","5","0","0","3","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","4","1","0","0","",""
"渋谷区","2","0","0","1","0","1","0","0","0","0","",""
"中野区","2","0","0","1","0","0","0","0","0","0","",""
"杉並","7","1","0","2","0","0","0","0","0","0","",""
"池袋","11","4","4","5","1","0","2","2","0","0","",""
"北区","1","0","0","1","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","0","",""
"板橋区","6","1","2","4","0","0","2","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","4","1","0","3","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","3","0","0","",""
"江戸川","3","0","0","3","0","0","0","0","0","0","",""
"八王子市","0","0","0","1","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","1","0","0","0","0","0","1","0","0","0","",""
"多摩府中","2","0","0","0","0","0","13","0","0","0","",""
"多摩小平","0","0","0","0","0","0","1","1","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","150","67","62","81","1","9","42","8","1","0","",""
