"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","9","7","2","0","0","0","5","4","1","0","",""
"区南部","6","0","0","0","0","0","1","1","0","0","",""
"区西南部","3","8","3","0","0","0","0","0","0","0","",""
"区西部","9","10","12","5","0","0","7","1","0","0","",""
"区西北部","19","5","3","5","0","0","2","1","0","0","",""
"区東北部","3","1","0","0","1","0","1","6","0","0","",""
"区東部","7","2","3","0","3","0","1","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","14","5","1","0","2","0","0","0","0","0","",""
"北多摩西部","13","0","1","1","1","1","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","10","10","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","83","38","25","11","7","1","27","24","1","0","",""
