"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","2","0","0","7","0","1","0","1","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","4","6","0","62","6","9","0","45","0","33","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","9","17","13","102","18","23","0","51","0","163","4","6","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","3","6","15","79","15","12","2","12","0","119","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","1","19","26","79","21","19","4","1","1","82","7","2","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","12","34","85","26","18","4","0","0","72","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","1","0","10","34","70","12","12","7","0","0","31","7","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","0","0","8","36","43","5","8","3","0","0","15","6","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","28","39","3","2","6","0","0","11","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","1","27","35","1","1","4","0","0","8","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","17","25","4","1","2","0","1","2","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","1","24","57","4","0","7","0","1","6","1","1","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","6","30","103","2","2","0","0","2","4","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"合計","2","19","87","284","801","117","108","39","110","5","550","50","18","3","0","17","1","1","7","0","0","0","0","0","0","0","0","0"
