"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","7","0","0","9","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","17","0","1","45","3","4","1","34","0","0","0","1","0","2","2","0","0","0","0","0","0","0"
"1歳","5","19","3","4","81","10","10","2","35","0","0","6","2","0","2","0","0","0","0","0","0","1","0"
"2歳","2","5","4","10","48","12","11","2","5","0","0","2","0","2","1","0","0","0","0","0","2","0","0"
"3歳","14","1","5","18","46","15","6","1","0","0","0","4","0","3","0","0","0","0","0","0","0","0","0"
"4歳","9","7","1","18","40","18","8","2","1","0","0","4","0","6","0","0","0","1","0","0","1","0","0"
"5歳","22","0","2","31","37","15","3","1","0","0","0","2","0","3","2","0","0","1","0","1","0","0","0"
"6歳","28","0","2","24","35","7","2","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"7歳","24","0","4","27","25","4","1","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"8歳","18","0","2","12","18","1","1","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0"
"9歳","10","0","3","6","21","2","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"10〜14歳","10","0","1","21","59","5","1","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0"
"15〜19歳","3","0","0","5","17","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"20〜29歳","5","0","1","21","75","1","0","0","0","2","0","1","0","0","0","0","0","2","0","0","0","0","0"
"30〜39歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","1","0","0"
"40〜49歳","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"70〜79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","174","56","28","198","556","96","50","15","77","2","1","23","3","17","9","2","1","22","0","1","6","1","0"
