"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","4","0","0"
"1〜4歳","0","0","0","0","0","0","4","3","0","0"
"5〜9歳","0","0","0","0","0","0","1","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","8","1","1","3","0","0","2","0","0","0"
"20〜24歳","29","8","7","3","1","0","0","0","0","0"
"25〜29歳","26","5","4","7","3","0","0","0","0","0"
"30〜34歳","10","4","3","2","0","0","1","0","0","0"
"35〜39歳","6","2","5","1","0","0","0","0","0","0"
"40〜44歳","2","3","3","0","0","0","1","0","0","0"
"45〜49歳","1","3","0","0","1","1","0","0","0","0"
"50〜54歳","0","0","1","0","0","0","0","0","1","0"
"55〜59歳","0","2","0","0","0","0","3","1","0","0"
"60〜64歳","0","0","1","0","0","0","2","1","0","0"
"65〜69歳","0","0","0","0","0","0","1","3","0","0"
"70歳以上","0","1","1","0","0","0","20","6","0","0"
"合計","82","29","26","16","5","1","42","19","1","0"
