"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","17","0","0","0","7","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"〜1歳","66","0","0","2","45","7","1","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","268","0","2","7","90","26","7","2","22","1","0","1","0","4","2","0","0","0","0","0","0","0","0"
"2歳","350","0","2","6","71","31","1","0","1","0","0","4","0","13","2","0","0","0","0","0","0","0","0"
"3歳","423","0","1","14","68","27","2","3","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0"
"4歳","525","0","3","24","86","22","4","2","0","0","0","1","0","19","0","0","0","0","0","0","0","0","0"
"5歳","528","0","1","13","79","27","3","2","0","0","0","0","0","28","0","0","0","1","0","0","0","0","0"
"6歳","479","0","0","25","72","11","1","9","0","0","0","0","0","11","0","0","0","0","0","0","1","0","0"
"7歳","367","0","0","11","42","5","0","5","0","0","0","0","0","6","0","0","0","0","0","0","1","0","0"
"8歳","354","0","0","8","37","2","0","2","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0"
"9歳","270","0","0","5","29","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"10〜14歳","618","0","0","10","62","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","149","0","0","1","15","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","387","2","1","8","126","1","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"30〜39歳","680","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"40〜49歳","460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"60〜69歳","166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"70〜79歳","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","6433","2","10","134","829","166","19","30","41","1","0","6","0","97","6","0","0","15","0","0","2","0","0"
