"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","6","2","0"
"1〜4歳","0","0","0","0","0","0","4","2","0"
"5〜9歳","0","0","0","0","0","0","12","0","0"
"10〜14歳","0","0","0","0","0","0","2","0","0"
"15〜19歳","8","1","4","3","1","0","0","0","0"
"20〜24歳","40","6","23","25","2","0","2","0","0"
"25〜29歳","49","9","21","19","2","0","0","0","0"
"30〜34歳","34","4","12","12","0","0","3","0","0"
"35〜39歳","19","16","9","16","0","0","1","0","0"
"40〜44歳","19","4","4","15","1","0","1","1","0"
"45〜49歳","11","4","4","5","0","0","0","0","0"
"50〜54歳","7","3","0","5","1","0","4","0","0"
"55〜59歳","3","2","2","4","0","0","4","0","0"
"60〜64歳","2","0","1","0","0","0","1","0","0"
"65〜69歳","0","0","0","1","0","0","2","0","0"
"70歳以上","0","2","1","3","0","0","38","0","0"
"合計","192","51","81","108","7","0","80","5","0"
