"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","5","0","0","13","0","0","0","3","0","10","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","8","8","3","85","3","22","0","35","0","118","0","2","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"1歳","0","21","19","25","160","4","81","1","65","0","375","3","11","3","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2歳","0","4","11","44","103","10","46","1","19","0","239","5","4","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"3歳","0","3","13","53","88","8","29","6","3","0","175","9","8","1","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0"
"4歳","0","1","15","90","92","9","19","9","5","0","148","20","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","15","64","99","19","17","10","2","0","87","31","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","4","66","60","19","5","2","0","0","62","30","1","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","4","41","61","4","3","6","0","0","33","34","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","4","43","42","10","2","2","0","0","26","32","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","3","25","37","10","3","1","0","1","11","17","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","1","0","1","51","83","9","0","1","0","1","14","28","1","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","0","0","3","20","0","0","0","0","0","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","4","32","102","0","3","0","0","2","5","5","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","3","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","4","42","101","540","1045","105","230","39","132","4","1305","216","35","7","0","37","0","2","16","0","0","0","0","0","0","0","0","0","0"
