"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","3","1","0","12","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","7","1","1","117","3","2","2","41","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","7","5","8","10","200","14","10","0","43","0","0","0","4","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","6","1","6","13","148","16","2","3","6","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","12","0","9","36","144","26","5","8","6","0","0","3","1","0","0","4","0","0","2","0","1","0","0","0","0","0","1","0"
"4歳","14","0","8","39","115","22","4","4","0","0","2","7","0","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0"
"5歳","13","0","5","34","90","8","1","4","0","0","1","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","9","0","0","32","67","6","0","0","0","0","0","5","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"7歳","17","0","0","18","59","6","1","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","7","0","0","16","52","6","2","3","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","9","0","1","18","49","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","19","0","0","50","96","4","0","1","0","0","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","21","0","0","0","12","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","17","1","0","18","129","0","1","0","0","3","0","1","1","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"40〜49歳","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"50〜59歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0"
"60〜69歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"合計","197","17","39","285","1290","114","28","28","97","4","4","31","7","1","1","37","0","0","17","0","1","0","0","0","0","0","1","0"
