"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","0","2"
"中央区","10","1","2","2","0","0","0","0","0","2","0"
"みなと","17","13","5","7","0","4","0","0","0","2","1"
"新宿区","40","16","15","24","1","1","38","12","1","5","2"
"文京","0","0","0","0","0","0","12","9","0","1","1"
"台東","32","15","7","6","16","0","0","0","0","4","0"
"墨田区","4","7","6","2","0","0","1","5","0","1","1"
"江東区","29","7","8","21","0","0","0","0","0","3","0"
"品川区","0","0","1","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","3","1","0","2","0","0","3","0","0","3","1"
"世田谷","0","0","0","0","0","0","4","0","0","0","2"
"渋谷区","9","1","1","0","0","0","13","0","0","3","2"
"中野区","5","2","0","0","0","1","0","0","0","1","1"
"杉並","0","0","0","0","0","0","0","0","0","0","1"
"池袋","26","9","14","12","2","1","16","4","0","3","1"
"北区","0","0","2","0","0","0","0","0","0","1","0"
"荒川区","4","0","1","0","0","0","0","0","0","1","0"
"板橋区","0","0","0","5","0","0","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","1","2","3","2","0","0","0","0","0","1","0"
"葛飾区","0","0","0","0","0","0","6","0","0","0","1"
"江戸川","0","0","0","0","0","0","0","0","0","0","0"
"八王子","18","2","0","0","7","0","3","0","1","3","1"
"町田市","3","2","0","1","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","14","1","1","16","0","0","0","0","0","2","1"
"多摩府中","4","0","1","0","0","0","0","0","0","1","2"
"多摩小平","0","0","0","0","0","0","14","9","0","0","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","219","79","67","100","26","7","110","39","2","41","25"
