"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","7","3","0","1","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","26","3","0","0","17","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"1歳","0","0","2","0","43","10","1","0","13","0","0","0","2","1","5","0","0","0","0","0","0","0","0","0"
"2歳","0","0","1","3","41","14","3","1","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0"
"3歳","0","0","2","7","39","8","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","1","3","48","11","2","7","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","0","5","33","5","0","5","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"6歳","1","0","0","3","11","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","8","11","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","1","4","15","0","0","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","4","9","0","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","1","15","2","0","1","0","0","0","1","2","1","0","0","0","0","0","0","0","1","0","0"
"15〜19歳","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","0","1","64","2","0","1","0","0","0","1","0","1","0","0","1","2","0","0","0","0","0","2"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","4","0","7","39","368","62","6","25","34","0","1","5","8","10","9","0","1","5","0","0","0","1","0","4"
