"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","112","73","185","55"
"性器ヘルペスウイルス感染症","58","40","98","55"
"尖圭コンジローマ","46","31","77","55"
"淋菌感染症","61","7","68","55"
"膣トリコモナス症","0","14","14","55"
"梅毒様疾患","3","1","4","55"
"メチシリン耐性黄色ブドウ球菌感染症","45","21","66","23"
"ペニシリン耐性肺炎球菌感染症","16","12","28","23"
"薬剤耐性緑膿菌感染症","2","0","2","23"
