"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","3","2","0","0","9","6","0","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"〜1歳","17","0","0","0","67","10","1","1","44","1","0","0","1","0","0","0","0","0","1","0","0","0","0"
"1歳","74","2","1","3","136","41","12","0","28","0","0","2","0","7","4","0","0","0","0","0","0","0","0"
"2歳","87","0","4","4","102","53","4","1","3","0","0","0","0","7","0","0","0","1","0","0","0","0","0"
"3歳","121","0","7","13","99","33","2","4","0","0","0","1","0","5","0","1","0","0","0","0","1","0","0"
"4歳","195","0","5","15","109","26","1","4","0","0","0","0","0","16","0","1","0","0","0","0","0","0","0"
"5歳","248","0","3","24","91","19","2","7","0","0","0","0","0","15","1","0","0","0","0","0","1","0","0"
"6歳","222","0","0","19","89","10","2","4","0","0","0","1","0","8","0","0","0","0","0","0","0","0","0"
"7歳","204","0","0","19","76","3","1","5","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0"
"8歳","149","0","0","12","48","2","0","3","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0"
"9歳","122","0","0","7","55","1","0","6","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"10〜14歳","227","0","0","13","110","5","0","2","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0"
"15〜19歳","50","0","0","0","45","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0"
"20〜29歳","126","6","1","7","257","0","1","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0"
"30〜39歳","208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"40〜49歳","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"50〜59歳","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2249","10","21","136","1293","209","26","37","82","2","0","4","1","88","6","2","0","8","1","0","5","0","0"
