"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","8","5","5","7","129","8","2","3","10","1","0","3","0","0","0","2","0","0","0","0","","","","","",""
"区南部","25","1","5","24","142","5","3","4","2","1","1","4","1","0","0","1","0","0","0","0","","","","","",""
"区西南部","1","2","1","6","101","5","1","5","1","0","0","1","0","0","0","1","0","0","0","0","","","","","",""
"区西部","7","4","4","10","129","5","1","4","5","0","0","2","0","0","0","2","0","0","4","0","","","","","",""
"区西北部","12","2","2","10","146","9","3","8","5","0","0","4","1","0","0","0","0","0","0","0","","","","","",""
"区東北部","7","6","11","13","108","8","2","6","2","0","0","2","1","1","1","2","0","0","3","1","","","","","",""
"区東部","13","1","4","39","148","7","0","4","5","0","0","3","2","0","0","1","0","0","0","0","","","","","",""
"西多摩","6","1","1","3","45","6","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","7","10","3","28","160","15","1","4","6","0","2","5","2","0","0","3","0","0","0","0","","","","","",""
"北多摩西部","4","0","0","1","17","7","0","1","3","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","3","3","3","9","50","10","1","2","2","0","0","2","0","0","0","3","0","1","1","0","","","","","",""
"北多摩北部","7","5","2","12","103","17","2","5","2","0","0","2","0","0","0","3","0","0","0","0","","","","","",""
"島しょ","4","0","0","0","0","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"合計","104","40","41","162","1278","104","16","47","43","3","3","35","7","1","1","18","0","1","8","1","","","","","",""
