"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","254","0","1","10","53","8","0","2","5","0","0","2","1","0","1","0","0","2","0","0","0","0","0","0","","","","","",""
"区南部","211","0","0","1","48","8","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","173","0","2","0","92","9","1","6","4","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","297","0","0","5","97","3","0","4","1","0","0","0","0","2","0","0","0","3","0","0","0","2","0","0","","","","","",""
"区西北部","293","0","0","5","47","3","0","3","3","0","1","0","0","3","0","0","0","0","0","0","0","2","0","1","","","","","",""
"区東北部","201","0","1","5","47","12","2","2","5","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東部","147","0","0","7","67","10","0","2","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","","","","","",""
"西多摩","134","0","0","2","4","3","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","159","0","0","2","27","12","0","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","143","0","0","2","28","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩南部","188","0","0","3","18","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","204","0","0","0","33","5","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2415","0","4","42","561","81","3","22","31","0","1","3","2","14","2","0","0","7","0","0","0","4","0","2","","","","","",""
