"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","36","34","21","28","0","0","10","3","1","0","",""
"区南部","10","2","0","3","0","0","1","1","0","0","",""
"区西南部","2","4","1","1","2","0","4","1","0","0","",""
"区西部","30","13","24","28","0","0","11","0","0","0","",""
"区西北部","11","10","8","5","0","0","7","1","1","0","",""
"区東北部","3","1","0","1","0","0","2","4","0","0","",""
"区東部","11","10","1","13","0","0","4","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","1","0","0","0","14","5","0","0","",""
"北多摩北部","0","0","0","0","0","0","2","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","103","74","56","79","2","0","55","18","2","0","",""
