"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","8","6","4","8","31","1","30","15","7","4","2","2","1","0","4","0","0","1","0","0","0","","","","","",""
"区南部","3","18","5","9","60","1","4","8","7","4","1","1","1","0","2","0","0","0","0","0","0","","","","","",""
"区西南部","8","11","5","15","49","6","18","16","6","8","1","2","0","0","0","0","0","1","0","0","0","","","","","",""
"区西部","1","26","4","17","42","1","18","13","6","2","0","1","0","0","1","0","0","0","0","0","1","","","","","",""
"区西北部","5","13","2","19","41","6","22","18","8","5","1","5","0","0","4","0","0","0","0","0","0","","","","","",""
"区東北部","19","15","3","19","46","7","36","4","8","7","1","1","0","0","2","0","0","0","0","0","0","","","","","",""
"区東部","5","16","2","26","51","4","19","19","8","3","5","1","0","0","2","0","0","1","0","0","0","","","","","",""
"西多摩","1","1","1","2","7","1","0","1","4","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","4","27","3","25","79","5","19","35","6","6","2","2","0","0","2","0","0","0","0","0","0","","","","","",""
"北多摩西部","1","2","2","9","22","1","3","10","3","2","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","1","11","4","7","31","0","20","11","6","19","4","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","1","18","4","18","30","4","21","15","4","10","1","1","0","0","1","0","0","1","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","57","164","39","175","489","37","210","165","73","72","22","17","2","0","18","0","0","4","0","0","1","","","","","",""
