"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","7","9","135","2","0","2","10","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","3","4","4","3","0","2","2","2"
"中央区","20","3","242","1","0","2","32","1","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","5","5","3","1","0","0","0"
"みなと","14","4","322","3","1","16","52","0","0","2","4","1","1","0","0","0","0","0","0","0","0","0","0","4","9","9","6","0","1","1","1"
"新宿区","9","15","279","6","1","10","42","6","0","3","2","0","0","0","0","0","1","0","0","0","0","0","0","1","12","12","8","2","2","2","2"
"文京","18","13","531","1","2","13","53","3","0","2","3","0","1","0","0","0","0","0","0","0","0","0","0","1","7","7","4","1","1","1","1"
"台東","8","2","326","3","0","2","77","3","0","7","1","1","1","0","0","0","0","0","0","0","0","0","0","0","7","7","4","0","0","0","0"
"墨田区","2","11","144","4","1","5","21","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","8","8","5","1","1","1","1"
"江東区","13","18","765","6","2","20","130","2","0","7","3","1","2","1","0","0","0","0","0","0","0","0","0","0","14","14","9","1","0","0","0"
"品川区","7","10","370","1","0","10","69","2","0","11","4","0","1","0","0","0","0","0","0","0","0","0","0","0","12","12","8","1","0","0","0"
"目黒区","7","9","302","1","0","11","24","3","0","2","4","0","1","0","0","0","0","0","0","0","0","0","0","0","8","8","5","1","0","0","0"
"大田区","16","15","691","8","5","28","106","6","0","5","5","0","0","1","0","0","0","0","0","0","0","0","0","3","21","21","13","2","1","1","1"
"世田谷","29","23","875","6","0","41","108","3","4","11","0","0","0","0","0","0","1","0","0","0","0","0","0","2","25","25","16","2","2","2","2"
"渋谷区","9","3","131","1","0","2","19","0","1","6","1","0","0","0","0","0","2","0","0","0","0","0","0","0","7","7","4","1","1","1","1"
"中野区","9","10","875","2","0","52","59","2","1","4","2","0","2","0","0","0","1","0","0","0","0","0","0","0","10","10","6","1","0","0","0"
"杉並","12","18","499","7","3","22","36","4","0","1","0","0","0","0","2","0","0","0","0","0","1","1","0","11","17","17","11","1","2","2","2"
"池袋","18","9","442","9","0","18","46","2","1","3","1","0","0","0","0","0","3","0","0","0","0","0","0","0","8","8","5","1","1","1","1"
"北区","16","20","404","3","0","28","50","2","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","7","1","0","0","0"
"荒川区","10","14","432","8","1","8","69","3","0","6","5","0","0","0","1","0","1","0","0","0","0","0","0","0","7","7","4","1","0","0","0"
"板橋区","24","22","584","3","0","3","61","6","1","1","2","0","0","1","0","1","1","0","0","0","1","0","0","0","16","16","10","2","1","1","1"
"練馬区","40","32","907","9","2","61","92","8","0","8","3","0","2","1","0","0","0","0","0","0","0","0","0","0","21","21","13","2","0","0","0"
"足立","21","29","968","14","9","23","93","2","0","18","8","0","2","0","1","0","0","0","0","0","0","0","0","0","20","20","13","2","0","0","0"
"葛飾区","8","20","531","1","0","13","58","5","0","8","4","0","0","0","0","0","0","0","0","1","0","0","0","0","13","13","8","1","1","1","1"
"江戸川","23","23","859","9","7","38","85","3","1","11","3","0","0","0","1","0","2","0","0","0","0","0","0","0","19","19","12","2","0","0","0"
"八王子市","19","23","1447","10","2","24","107","3","0","19","9","2","0","0","0","0","1","0","0","0","0","0","0","3","18","18","11","2","1","1","1"
"町田市","12","11","647","2","0","25","67","6","1","3","4","0","3","1","0","0","1","0","0","0","0","0","0","0","13","13","8","1","0","0","0"
"西多摩","10","13","252","0","0","5","42","0","0","10","3","0","0","0","0","0","0","0","0","0","0","1","0","3","13","13","8","1","1","1","1"
"南多摩","18","29","781","1","1","10","62","2","0","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","14","14","9","1","0","0","0"
"多摩立川","21","19","654","1","1","57","84","8","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","1","21","21","14","2","1","1","1"
"多摩府中","39","32","1722","7","2","70","145","20","3","11","5","0","6","2","0","0","2","0","0","1","0","1","1","6","33","33","21","3","3","3","3"
"多摩小平","60","40","1235","7","4","52","158","9","4","19","3","0","0","0","1","0","0","0","0","0","0","0","1","11","23","23","15","2","2","2","2"
"島しょ","0","3","20","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","1","1"
"合計","519","502","18372","136","44","672","2057","114","19","194","88","5","25","8","6","1","16","0","0","3","2","3","2","50","418","418","264","39","25","25","25"
